town,state,sentiment_score,number_of_posts,satisfaction_score,score_valid
Mineral Wells, WV,0.0,2,2.4305,1
Pineland, SC,0.0,4,2.4305,1
Bear Lake, PA,n/a,0,2.4305,0
Virginia Beach, VA,0.23385863039399624,13858,2.9583,1
Sharon, PA,0.2864241379310345,116,3.0768,1
Millerstown, PA,0.23782,10,2.9671,1
Linden, PA,0.2988935582822086,652,3.105,1
Manchester, PA,0.2849698729582577,1102,3.0736,1
Sugar Grove, PA,0.4212294117647059,34,3.381,1
Willow Creek, CA,0.24136063829787235,1504,2.9752,1
Monroeton, PA,0.21902089552238807,737,2.9247,1
Woodhaven, MI,0.18451161731207288,439,2.8469,1
Union City, GA,0.23069333333333333,15,2.9511,1
Cold Spring, MN,0.3068207547169811,53,3.1228,1
Frazee, MN,0.09689574468085106,95,2.6492,1
Meadowlakes, TX,0.31682802197802196,546,3.1454,1
Webster, TX,0.27951421686746986,2490,3.0612,1
Sinton, TX,n/a,0,2.4305,0
Fulton, KY,0.43934422018348623,545,3.4218,1
Ruidoso Downs, NM,n/a,0,2.4305,0
Maysville, KY,0.3290448,625,3.1729,1
Alvaton, KY,0.23660278940027896,717,2.9644,1
Roswell, GA,0.41110754310344827,928,3.3582,1
Bakersfield, CA,0.20289071701879888,6011,2.8884,1
Orr, MN,0.224771921182266,203,2.9378,1
Stanford, KY,0.3413722929936306,314,3.2009,1
Warwick, RI,0.3229255499541705,4364,3.1591,1
Daufuskie Island, SC,0.5644125615763547,406,3.7041,1
Southampton, PA,0.18240384615384617,104,2.8421,1
Augusta-Richmond County cons gov bal, GA,0.23792857142857143,105,2.9674,1
Fosters, AL,0.12238444444444445,45,2.7067,1
Gordo, AL,-0.18814,5,2.0061,1
Heber Springs, AR,0.17665263157894737,19,2.8293,1
Mount Pleasant, TN,0.26340808510638297,470,3.0249,1
Allison Park, PA,0.31980010254306807,4876,3.1522,1
Elverson, PA,0.3975214975845411,828,3.3275,1
Erie, CO,0.3669132703777336,4024,3.2584,1
Rydal, PA,0.2506787037037037,864,2.9962,1
Kingston, PA,0.29546667774086377,3010,3.0973,1
Nottingham, PA,0.34353632286995517,892,3.2056,1
Spring Brook Township, PA,0.0857923076923077,26,2.6241,1
Gillett, PA,-0.0014285714285714286,14,2.4274,1
Arcadia, IN,n/a,0,2.4305,0
Palm Bay, FL,0.23042818532818535,11396,2.9504,1
Newport, PA,0.33403269230769234,208,3.1842,1
Sanford, FL,n/a,0,2.4305,0
Hadley, PA,0.2676725,80,3.0346,1
Plains, PA,0.1787222891566265,332,2.8338,1
Hoopeston, IL,0.29188285714285717,35,3.0892,1
Crystal, MN,0.3076942748091603,524,3.1248,1
Silsbee, TX,0.29824418604651165,86,3.1034,1
Sunrise Beach, TX,0.20698484848484847,66,2.8976,1
Partridge, KS,0.17799615384615383,26,2.8322,1
Calvert City, KY,0.2155490909090909,55,2.9168,1
South San Francisco, CA,0.30864932853717025,4170,3.1269,1
La Center, KY,0.0,2,2.4305,1
Adairville, KY,0.3362702127659575,141,3.1894,1
Clay City, KY,0.30791052631578947,19,3.1253,1
Nicollet, MN,0.11962222222222224,45,2.7004,1
Water Valley, KY,0.0,5,2.4305,1
Peoa, UT,0.39247777777777776,9,3.3162,1
Fair Play, SC,0.34346088888888887,225,3.2056,1
Clarkston, GA,0.07696349206349207,63,2.6043,1
Helmetta, NJ,0.2572734265734266,286,3.0111,1
Donaldson, AR,0.374765,20,3.2763,1
Eastaboga, AL,0.27295940594059404,101,3.0466,1
Waterbury, CT,0.1995893581081081,592,2.8809,1
Aliquippa, PA,0.27809034879783273,5906,3.0581,1
Bethany, PA,0.24387349397590363,830,2.9809,1
Marietta, GA,0.2923718167872014,4563,3.0903,1
Dublin, CA,0.3798566625766871,12225,3.2878,1
