town,state,sentiment_score,number_of_posts,satisfaction_score,pie_sector_label
Claysville, PA,0.12295350318471338,157,2.7,fill
Claysville, PA,0.12295350318471338,157,2.3,blank
Waukesha, WI,0.32904903225806453,155,3.2,fill
Waukesha, WI,0.32904903225806453,155,1.7999999999999998,blank
Gay, GA,0.24691549295774648,71,3.0,fill
Gay, GA,0.24691549295774648,71,2.0,blank
Van Vleck, TX,0.2082,13,2.9,fill
Van Vleck, TX,0.2082,13,2.1,blank
Chesnee, SC,0.23079060109289617,915,3.0,fill
Chesnee, SC,0.23079060109289617,915,2.0,blank
Mobile, AL,0.27266241610738257,40827,3.0,fill
Mobile, AL,0.27266241610738257,40827,2.0,blank
Canastota, NY,0.2584877551020408,98,3.0,fill
Canastota, NY,0.2584877551020408,98,2.0,blank
Falls Church, VA,0.3162474010973145,6927,3.1,fill
Falls Church, VA,0.3162474010973145,6927,1.9,blank
Brentwood, TN,0.26688349317210464,19186,3.0,fill
Brentwood, TN,0.26688349317210464,19186,2.0,blank
Bentonville, AR,0.2503390036776998,29910,3.0,fill
Bentonville, AR,0.2503390036776998,29910,2.0,blank
Dalton, PA,0.135896,700,2.7,fill
Dalton, PA,0.135896,700,2.3,blank
East Freedom, PA,0.6410583333333334,48,3.9,fill
East Freedom, PA,0.6410583333333334,48,1.1,blank
Haverford, PA,0.44554285714285713,434,3.4,fill
Haverford, PA,0.44554285714285713,434,1.6,blank
White Lake, MI,0.2403050254916242,4119,3.0,fill
White Lake, MI,0.2403050254916242,4119,2.0,blank
Aitkin, MN,0.29816735833998403,1253,3.1,fill
Aitkin, MN,0.29816735833998403,1253,1.9,blank
Garland, TX,0.39286767676767675,297,3.3,fill
Garland, TX,0.39286767676767675,297,1.7000000000000002,blank
Oakland, KY,0.16808046875,128,2.8,fill
Oakland, KY,0.16808046875,128,2.2,blank
Lawrenceville, NJ,0.3059137339055794,466,3.1,fill
Lawrenceville, NJ,0.3059137339055794,466,1.9,blank
Columbia, TN,0.48373135888501745,1148,3.5,fill
Columbia, TN,0.48373135888501745,1148,1.5,blank
Costa Mesa, CA,0.472512955465587,741,3.5,fill
Costa Mesa, CA,0.472512955465587,741,1.5,blank
Ohatchee, AL,0.20215833333333333,12,2.9,fill
Ohatchee, AL,0.20215833333333333,12,2.1,blank
Kunkletown, PA,0.3143141975308642,648,3.1,fill
Kunkletown, PA,0.3143141975308642,648,1.9,blank
Dubuque, IA,0.04893492063492064,63,2.5,fill
Dubuque, IA,0.04893492063492064,63,2.5,blank
Kutztown, PA,0.28020542857142855,1400,3.1,fill
Kutztown, PA,0.28020542857142855,1400,1.9,blank
Reston, VA,0.3019437754559943,5647,3.1,fill
Reston, VA,0.3019437754559943,5647,1.9,blank
Flourtown, PA,0.43388571428571426,518,3.4,fill
Flourtown, PA,0.43388571428571426,518,1.6,blank
New Columbia, PA,0.2580972222222222,72,3.0,fill
New Columbia, PA,0.2580972222222222,72,2.0,blank
Kensington, MN,0.12244999999999999,6,2.7,fill
Kensington, MN,0.12244999999999999,6,2.3,blank
Frankfort, KY,0.25958145454545456,6875,3.0,fill
Frankfort, KY,0.25958145454545456,6875,2.0,blank
Hebron, KY,0.27083649974186885,1937,3.0,fill
Hebron, KY,0.27083649974186885,1937,2.0,blank
Willow Grove, PA,0.2598568818514007,821,3.0,fill
Willow Grove, PA,0.2598568818514007,821,2.0,blank
Grand Bay, AL,0.2913504273504274,1755,3.1,fill
Grand Bay, AL,0.2913504273504274,1755,1.9,blank
New Lenox, IL,0.2534804469273743,358,3.0,fill
New Lenox, IL,0.2534804469273743,358,2.0,blank
Aurora, CO,0.2329389456477319,4894,3.0,fill
Aurora, CO,0.2329389456477319,4894,2.0,blank
Chambersburg, PA,0.26285026636225267,7896,3.0,fill
Chambersburg, PA,0.26285026636225267,7896,2.0,blank
Trappe, PA,0.3104180616740088,1362,3.1,fill
Trappe, PA,0.3104180616740088,1362,1.9,blank
Youngstown, FL,0.4387,80,3.4,fill
Youngstown, FL,0.4387,80,1.6,blank
Toms River, NJ,0.29821274238227147,722,3.1,fill
Toms River, NJ,0.29821274238227147,722,1.9,blank
Manassas, VA,0.2911649954764777,13264,3.1,fill
Manassas, VA,0.2911649954764777,13264,1.9,blank
Avon Lake, OH,0.38141071428571427,28,3.3,fill
Avon Lake, OH,0.38141071428571427,28,1.7000000000000002,blank
West Branch, MI,0.14054,5,2.7,fill
West Branch, MI,0.14054,5,2.3,blank
Delano, MN,0.2555073043478261,575,3.0,fill
Delano, MN,0.2555073043478261,575,2.0,blank
Pensacola, FL,0.4905479674796748,246,3.5,fill
Pensacola, FL,0.4905479674796748,246,1.5,blank
Huntsville, AL,0.2520110982333041,31924,3.0,fill
Huntsville, AL,0.2520110982333041,31924,2.0,blank
Basehor, KS,0.17284114583333335,192,2.8,fill
Basehor, KS,0.17284114583333335,192,2.2,blank
Fort Myers, FL,0.09256015660985721,2171,2.6,fill
Fort Myers, FL,0.09256015660985721,2171,2.4,blank
Avondale, CO,0.0,12,2.4,fill
Avondale, CO,0.0,12,2.6,blank
Veneta, OR,0.26665540983606556,610,3.0,fill
Veneta, OR,0.26665540983606556,610,2.0,blank
Evergreen, CO,0.33435800643086816,1555,3.2,fill
Evergreen, CO,0.33435800643086816,1555,1.7999999999999998,blank
Kirkwood, PA,0.18752162162162164,74,2.9,fill
Kirkwood, PA,0.18752162162162164,74,2.1,blank
Deale, MD,0.24094754098360657,366,3.0,fill
Deale, MD,0.24094754098360657,366,2.0,blank
Emmaus, PA,0.307038532675709,3244,3.1,fill
Emmaus, PA,0.307038532675709,3244,1.9,blank
Freeport, PA,0.18748987341772153,158,2.9,fill
Freeport, PA,0.18748987341772153,158,2.1,blank
Rockledge, PA,0.4065506976744186,430,3.3,fill
Rockledge, PA,0.4065506976744186,430,1.7000000000000002,blank
Scranton, PA,0.24347153141361258,6112,3.0,fill
Scranton, PA,0.24347153141361258,6112,2.0,blank
Tyrone, PA,0.14156315789473684,152,2.7,fill
Tyrone, PA,0.14156315789473684,152,2.3,blank
Mocanaqua, PA,0.1529,26,2.8,fill
Mocanaqua, PA,0.1529,26,2.2,blank
Jupiter, FL,0.28483429203539823,904,3.1,fill
Jupiter, FL,0.28483429203539823,904,1.9,blank
Uniontown, PA,0.20991377777777778,450,2.9,fill
Uniontown, PA,0.20991377777777778,450,2.1,blank
Hazle Township, PA,0.272180981595092,326,3.0,fill
Hazle Township, PA,0.272180981595092,326,2.0,blank
Mount Pocono, PA,0.19691555555555554,90,2.9,fill
Mount Pocono, PA,0.19691555555555554,90,2.1,blank
San Leandro, CA,0.14768694450585895,9046,2.8,fill
San Leandro, CA,0.14768694450585895,9046,2.2,blank
Emily, MN,0.18379036144578315,166,2.8,fill
Emily, MN,0.18379036144578315,166,2.2,blank
Lakeside Marblehead, OH,0.17391674757281553,2472,2.8,fill
Lakeside Marblehead, OH,0.17391674757281553,2472,2.2,blank
North Hollywood, CA,0.38824545454545456,33,3.3,fill
North Hollywood, CA,0.38824545454545456,33,1.7000000000000002,blank
Mount Washington, KY,0.2346051319648094,4092,3.0,fill
Mount Washington, KY,0.2346051319648094,4092,2.0,blank
Claysburg, PA,0.228388,25,2.9,fill
Claysburg, PA,0.228388,25,2.1,blank
Westview, KY,0.0,1,2.4,fill
Westview, KY,0.0,1,2.6,blank
Sandy, UT,0.30443539695057836,7612,3.1,fill
Sandy, UT,0.30443539695057836,7612,1.9,blank
Union, KY,0.4070978093306288,2465,3.3,fill
Union, KY,0.4070978093306288,2465,1.7000000000000002,blank
Cross Hill, SC,0.34713076923076924,130,3.2,fill
Cross Hill, SC,0.34713076923076924,130,1.7999999999999998,blank
Trinity, AL,0.27119322709163346,251,3.0,fill
Trinity, AL,0.27119322709163346,251,2.0,blank
Winfield, AL,0.3029965210355987,1236,3.1,fill
Winfield, AL,0.3029965210355987,1236,1.9,blank
Glen Allen, VA,0.29637983302895904,7666,3.1,fill
Glen Allen, VA,0.29637983302895904,7666,1.9,blank
New City, NY,0.4096086206896552,116,3.4,fill
New City, NY,0.4096086206896552,116,1.6,blank
Lock Haven, PA,0.1772151712887439,1226,2.8,fill
Lock Haven, PA,0.1772151712887439,1226,2.2,blank
Wallingford, PA,0.33420956937799046,418,3.2,fill
Wallingford, PA,0.33420956937799046,418,1.7999999999999998,blank
Norman, OK,0.3415155656159177,17892,3.2,fill
Norman, OK,0.3415155656159177,17892,1.7999999999999998,blank
Russellton, PA,0.19936739130434783,92,2.9,fill
Russellton, PA,0.19936739130434783,92,2.1,blank
Crossville, TN,0.4309,6,3.4,fill
Crossville, TN,0.4309,6,1.6,blank
Broken Arrow, OK,0.1538104768786127,1384,2.8,fill
Broken Arrow, OK,0.1538104768786127,1384,2.2,blank
Fisher, IL,0.09686153846153846,13,2.6,fill
Fisher, IL,0.09686153846153846,13,2.4,blank
Kirkland, IL,0.0,4,2.4,fill
Kirkland, IL,0.0,4,2.6,blank
Murfreesboro, TN,0.3656671361502347,213,3.3,fill
Murfreesboro, TN,0.3656671361502347,213,1.7000000000000002,blank
Westfield, IN,0.38929149689991144,2258,3.3,fill
Westfield, IN,0.38929149689991144,2258,1.7000000000000002,blank
Pittsburg, KS,0.2275604966139955,443,2.9,fill
Pittsburg, KS,0.2275604966139955,443,2.1,blank
Grand Haven, MI,0.21676282051282053,78,2.9,fill
Grand Haven, MI,0.21676282051282053,78,2.1,blank
Dry Ridge, KY,0.37281717902350814,1106,3.3,fill
Dry Ridge, KY,0.37281717902350814,1106,1.7000000000000002,blank
Aspen, CO,0.2700890929965557,6968,3.0,fill
Aspen, CO,0.2700890929965557,6968,2.0,blank
Spottsville, KY,0.11711666666666667,24,2.7,fill
Spottsville, KY,0.11711666666666667,24,2.3,blank
New Hope, AL,0.3956853211009174,218,3.3,fill
New Hope, AL,0.3956853211009174,218,1.7000000000000002,blank
Elmore, AL,0.14608656716417912,201,2.8,fill
Elmore, AL,0.14608656716417912,201,2.2,blank
Florala, AL,-0.0025,8,2.4,fill
Florala, AL,-0.0025,8,2.6,blank
Lakewood, CO,0.299786773255814,688,3.1,fill
Lakewood, CO,0.299786773255814,688,1.9,blank
Eynon, PA,0.3992251851851852,542,3.3,fill
Eynon, PA,0.3992251851851852,542,1.7000000000000002,blank
Georgetown, PA,0.23576143187066975,3464,3.0,fill
Georgetown, PA,0.23576143187066975,3464,2.0,blank
Willmar, MN,0.256362249614792,649,3.0,fill
Willmar, MN,0.256362249614792,649,2.0,blank
Uncasville, CT,0.26483875,80,3.0,fill
Uncasville, CT,0.26483875,80,2.0,blank
Long Lake, MN,0.2806408071748879,223,3.1,fill
Long Lake, MN,0.2806408071748879,223,1.9,blank
Gibbon, MN,0.030190000000000012,10,2.5,fill
Gibbon, MN,0.030190000000000012,10,2.5,blank
Rohnert Park, CA,0.3293994236311239,1041,3.2,fill
Rohnert Park, CA,0.3293994236311239,1041,1.7999999999999998,blank
Hastings, MN,0.27899001512859306,1324,3.1,fill
Hastings, MN,0.27899001512859306,1324,1.9,blank
Champlin, MN,0.24282398676592226,1209,3.0,fill
Champlin, MN,0.24282398676592226,1209,2.0,blank
Grand Prairie, TX,0.1776503717472119,538,2.8,fill
Grand Prairie, TX,0.1776503717472119,538,2.2,blank
Lawrenceburg, KY,0.2599073905109489,1096,3.0,fill
Lawrenceburg, KY,0.2599073905109489,1096,2.0,blank
Central City, KY,0.15629019607843136,51,2.8,fill
Central City, KY,0.15629019607843136,51,2.2,blank
Newton, MA,0.4880676478690331,25411,3.5,fill
Newton, MA,0.4880676478690331,25411,1.5,blank
Caney, KS,0.3049,1452,3.1,fill
Caney, KS,0.3049,1452,1.9,blank
Symsonia, KY,0.2581,70,3.0,fill
Symsonia, KY,0.2581,70,2.0,blank
Earle, AR,0.0,7,2.4,fill
Earle, AR,0.0,7,2.6,blank
Raeford, NC,0.25970246913580247,81,3.0,fill
Raeford, NC,0.25970246913580247,81,2.0,blank
