town,state,sentiment_score,number_of_posts,satisfaction_score,star_fill,x,y,score_valid
Park City, KS,0.262741497,1082,3.0,0,5,1,1
Medford, OR,0.227610417,48,2.9,100,1,1,1
Medford, OR,0.227610417,48,2.9,100,2,1,1
Medford, OR,0.227610417,48,2.9,89.99999999999999,3,1,1
Medford, OR,0.227610417,48,2.9,0,4,1,1
Medford, OR,0.227610417,48,2.9,0,5,1,1
Udall, KS,0.093144444,27,2.6,100,1,1,1
Udall, KS,0.093144444,27,2.6,100,2,1,1
Udall, KS,0.093144444,27,2.6,60.00000000000001,3,1,1
Udall, KS,0.093144444,27,2.6,0,4,1,1
Udall, KS,0.093144444,27,2.6,0,5,1,1
La Porte, TX,0.396325568,176,3.3,100,1,1,1
La Porte, TX,0.396325568,176,3.3,100,2,1,1
La Porte, TX,0.396325568,176,3.3,100,3,1,1
La Porte, TX,0.396325568,176,3.3,29.999999999999982,4,1,1
La Porte, TX,0.396325568,176,3.3,0,5,1,1
Brooks, KY,0.034955046,109,2.5,100,1,1,1
Brooks, KY,0.034955046,109,2.5,100,2,1,1
Brooks, KY,0.034955046,109,2.5,50.0,3,1,1
Brooks, KY,0.034955046,109,2.5,0,4,1,1
Brooks, KY,0.034955046,109,2.5,0,5,1,1
Bastrop, LA,0.253280303,132,3.0,100,1,1,1
Bastrop, LA,0.253280303,132,3.0,100,2,1,1
Bastrop, LA,0.253280303,132,3.0,100,3,1,1
Bastrop, LA,0.253280303,132,3.0,0.0,4,1,1
Bastrop, LA,0.253280303,132,3.0,0,5,1,1
Myrtle Beach, SC,0.427754839,31,3.4,100,1,1,1
Myrtle Beach, SC,0.427754839,31,3.4,100,2,1,1
Myrtle Beach, SC,0.427754839,31,3.4,100,3,1,1
Myrtle Beach, SC,0.427754839,31,3.4,39.99999999999999,4,1,1
Myrtle Beach, SC,0.427754839,31,3.4,0,5,1,1
Springfield, KY,0.377494118,17,3.3,100,1,1,1
Springfield, KY,0.377494118,17,3.3,100,2,1,1
Springfield, KY,0.377494118,17,3.3,100,3,1,1
Springfield, KY,0.377494118,17,3.3,29.999999999999982,4,1,1
Springfield, KY,0.377494118,17,3.3,0,5,1,1
Worthville, KY,0.258648299,149,3.0,100,1,1,1
Worthville, KY,0.258648299,149,3.0,100,2,1,1
Worthville, KY,0.258648299,149,3.0,100,3,1,1
Worthville, KY,0.258648299,149,3.0,0.0,4,1,1
Worthville, KY,0.258648299,149,3.0,0,5,1,1
Saratoga Springs, UT,0.248635197,1449,3.0,100,1,1,1
Saratoga Springs, UT,0.248635197,1449,3.0,100,2,1,1
